Modèle,Accuracy,Précision,Recall,F1-Score
Régression Logistique,0.9716666666666667,0.9896193771626297,0.9533333333333334,0.9711375212224108
Random Forest,0.97,0.9828767123287672,0.9566666666666667,0.9695945945945946
